Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
89266173988,-0.533694,0.163694,-0.970411
89266222807,-0.533927,0.154706,-0.970422
89266271628,-0.524720,0.163395,-0.960182
89266320444,-0.524611,0.163387,-0.970311
89266369263,-0.533731,0.163707,-0.970719
89266418089,-0.533822,0.163709,-0.960434
89266466916,-0.552058,0.155337,-0.981367
89266515739,-0.524935,0.154400,-0.960040
89266564564,-0.533927,0.154706,-0.970422
89266613388,-0.533803,0.163702,-0.960282
89266662223,-0.534250,0.145718,-0.960151
89266711054,-0.542850,0.163994,-0.960076
89266759881,-0.543010,0.155012,-0.970522
89266808709,-0.524684,0.163382,-0.959876
89266857532,-0.542904,0.163982,-0.949491
89266906360,-0.543083,0.155006,-0.960087
89266955184,-0.542617,0.172982,-0.960065
89267004009,-0.525382,0.136417,-0.959910
89267052828,-0.534000,0.154700,-0.959987
89267101653,-0.533607,0.172670,-0.949531
89267150481,-0.551936,0.173278,-0.929009
89267199299,-0.560535,0.191554,-0.928939
89267248126,-0.587594,0.219397,-0.856163
89267296944,-0.614889,0.247231,-0.752206
89267345761,-0.687778,0.276562,-0.617200
89267394583,-0.742375,0.305301,-0.502986
89267443405,-0.806914,0.298399,-0.399351
89267492220,-0.883613,0.201873,-0.191624
89267541039,-0.962280,0.042391,0.068275
89267589864,-0.913270,-0.076490,0.423553
89267638688,-0.716135,-0.092413,0.780562
89267687508,-0.433156,0.005845,0.982200
89267736326,-0.159736,0.059513,1.089507
89267785150,0.014795,0.134576,1.112377
89267833968,0.058429,0.070120,1.133816
89267882785,0.019786,-0.018545,1.133012
89267931595,-0.128844,-0.157419,1.068766
89267980408,-0.358866,-0.302481,0.919976
89268029225,-0.604820,-0.410874,0.583183
89268078039,-0.811464,-0.403646,0.257349
89268126849,-0.922148,-0.210714,-0.108951
89268175668,-0.893373,0.130359,-0.358724
89268224481,-0.701664,0.501817,-0.408724
89268273302,-0.458028,0.799372,-0.332475
89268322116,-0.246738,0.918116,-0.204835
89268370932,-0.091100,0.984741,-0.109080
89268419744,0.009343,1.026212,-0.013966
89268468563,0.073028,1.051035,0.070218
89268517377,0.072963,1.051005,0.080659
89268566197,0.008916,1.035172,0.079938
89268615010,-0.118743,1.003543,0.015889
89268663826,-0.264582,0.945688,-0.152851
89268712639,-0.467239,0.799647,-0.311643
89268761449,-0.731705,0.385847,-0.429744
89268810260,-0.862026,-0.032714,-0.243747
89268859080,-0.881009,-0.329190,0.079257
89268907902,-0.794562,-0.395387,0.476631
89268956722,-0.648377,-0.292585,0.759960
89269005542,-0.482435,-0.154393,0.939511
89269054358,-0.398688,-0.067301,0.992440
89269103175,-0.305343,0.046436,1.066604
89269151994,-0.249596,0.098513,1.088133
89269200812,-0.213351,0.097287,1.099106
89269249630,-0.210620,0.196151,1.078085
89269298449,-0.249973,0.089514,1.108985
89269347262,-0.297760,-0.016770,1.045897
89269396074,-0.401672,-0.202076,0.919251
89269444881,-0.549822,-0.367816,0.687948
89269493697,-0.722684,-0.460677,0.362514
89269542512,-0.871847,-0.356394,-0.024970
89269591328,-0.915441,0.005071,-0.254582
89269640143,-0.823822,0.397737,-0.201041
89269688960,-0.728354,0.610299,-0.064184
89269737777,-0.625696,0.732715,0.010081
89269786595,-0.523484,0.837136,0.084327
89269835409,-0.385967,0.904394,0.169342
89269884221,-0.257649,0.954036,0.202105
89269933034,-0.175880,0.960227,0.234287
89269981857,-0.166183,0.986901,0.244868
89270030680,-0.184424,0.978513,0.223781
89270079504,-0.229502,0.971127,0.139847
89270128324,-0.301920,0.937696,-0.027857
89270177145,-0.411906,0.842679,-0.258711
89270225968,-0.570806,0.623281,-0.448375
89270274793,-0.743638,0.260331,-0.482005
89270323626,-0.862885,-0.086615,-0.306187
89270372430,-0.880377,-0.329137,-0.004177
89270421249,-0.839175,-0.393783,0.371687
89270470070,-0.747427,-0.280178,0.675258
89270518890,-0.580854,-0.106062,0.896504
89270567709,-0.438747,0.131971,0.960770
89270616529,-0.318622,0.217834,1.003772
89270665344,-0.272046,0.270218,1.035756
89270714166,-0.227316,0.250694,1.067523
89270762987,-0.236778,0.233023,1.056835
89270811801,-0.277208,0.072477,1.045672
89270860622,-0.400386,-0.148162,0.939943
89270909445,-0.531890,-0.377416,0.688136
89270958266,-0.732351,-0.505262,0.278918
89271007081,-0.872142,-0.374354,-0.045832
89271055904,-0.916330,-0.021912,-0.223279
89271104727,-0.843255,0.362359,-0.149099
89271153550,-0.738153,0.601562,0.008729
89271202372,-0.626849,0.723635,0.145655
89271251186,-0.534782,0.792464,0.230206
89271300015,-0.433787,0.842930,0.283453
89271348841,-0.342660,0.866843,0.336685
89271397670,-0.242638,0.872407,0.358583
89271446494,-0.178538,0.888265,0.348911
89271495311,-0.141732,0.904992,0.349299
89271544132,-0.204422,0.916175,0.254768
89271592952,-0.330894,0.893611,0.055223
89271641763,-0.467397,0.835425,-0.144502
89271690575,-0.635459,0.607366,-0.355094
89271739391,-0.779763,0.297415,-0.367411
89271788210,-0.890231,-0.058797,-0.191739
89271837031,-0.897237,-0.247701,0.120877
89271885852,-0.818829,-0.277627,0.497118
89271934672,-0.707747,-0.128671,0.769513
89271983487,-0.521324,0.089803,0.917863
89272032307,-0.393051,0.139409,0.960914
89272081128,-0.367885,0.075551,1.023819
89272129943,-0.388231,-0.013696,1.002654
89272178759,-0.482517,-0.172345,0.897184
89272227585,-0.614096,-0.410556,0.634656
89272276406,-0.787260,-0.548279,0.184346
89272325235,-0.879527,-0.373904,-0.275143
89272374056,-0.844986,-0.159006,-0.524806
89272422879,-0.801959,0.073477,-0.617933
89272471700,-0.732024,0.305003,-0.658530
89272520526,-0.687346,0.258573,-0.720622
89272569350,-0.642238,0.221155,-0.814103
89272618175,-0.616637,0.148360,-0.845165
89272667005,-0.618028,0.085464,-0.876375
89272715829,-0.574818,-0.014891,-0.928112
89272764652,-0.537954,0.001863,-0.938113
89272813478,-0.564180,0.047703,-0.917512
89272862300,-0.544083,0.118989,-0.927645
89272911120,-0.552539,0.146250,-0.917289
89272959946,-0.543473,0.136974,-0.948468
89273008766,-0.552464,0.137280,-0.958838
89273057596,-0.552394,0.146261,-0.938134
89273106420,-0.543367,0.145943,-0.927464
89273155245,-0.552432,0.146274,-0.938432
89273204075,-0.543599,0.136956,-0.927475
89273252900,-0.552772,0.137263,-0.917300
89273301726,-0.543385,0.145949,-0.927611
89273350556,-0.552932,0.128282,-0.927733
89273399380,-0.543313,0.145955,-0.938034
89273448208,-0.552341,0.146273,-0.948707
89273497034,-0.552467,0.146255,-0.927711
89273545853,-0.543171,0.154942,-0.927748
89273594676,-0.552216,0.155235,-0.927552
89273643498,-0.543313,0.145955,-0.938034
89273692323,-0.543098,0.154948,-0.938172
89273741145,-0.552234,0.155242,-0.927700
89273789969,-0.552162,0.155248,-0.938122
89273838789,-0.534376,0.145637,-0.917089
89273887608,-0.543171,0.154942,-0.927748
89273936438,-0.552303,0.146260,-0.948405
89273985261,-0.543152,0.154936,-0.927600
89274034081,-0.552341,0.146273,-0.948707
89274082908,-0.543240,0.145961,-0.948456
89274131739,-0.552394,0.146261,-0.938134
89274180561,-0.542847,0.163928,-0.938011
89274229390,-0.543152,0.154936,-0.927600
89274278219,-0.543152,0.154936,-0.927600
89274327041,-0.552253,0.155249,-0.927848
89274375866,-0.534089,0.154636,-0.927648
89274424696,-0.552253,0.155249,-0.927848
89274473526,-0.561315,0.155548,-0.927800
89274522357,-0.543045,0.154960,-0.948747
89274571183,-0.543243,0.154937,-0.917324
89274620004,-0.543422,0.145962,-0.927907
89274668829,-0.543476,0.145950,-0.917335
89274717658,-0.552539,0.146250,-0.917289
